RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99040801010343,04,08,01,040801,Fishlake National Forest,Fillmore Ranger District,493437.687,0.20750735817,3.87917671915
99040102010343,04,01,02,040102,Ashley National Forest,Vernal Ranger District,341243.293,0.147168562651,2.37928614112
99040104010343,04,01,04,040104,Ashley National Forest,Duchesne Ranger District,365909.58,0.156710049361,4.04325741745
99040101010343,04,01,01,040101,Ashley National Forest,Flaming Gorge Ranger District,354282.47,0.153415905656,4.38375889731
99040103010343,04,01,03,040103,Ashley National Forest,Roosevelt Ranger District,339843.916,0.146459275124,2.13473379446
99041404010343,04,14,04,041404,Sawtooth National Forest,Sawtooth National Recreation Area,812157.722,0.369012380556,3.67460127612
99041403010343,04,14,03,041403,Sawtooth National Forest,Ketchum Ranger District,329684.966,0.148913528454,2.95562698671
99041401010343,04,14,01,041401,Sawtooth National Forest,Minidoka Ranger District,632639.529,0.278916055586,6.27593354868
99041405010343,04,14,05,041405,Sawtooth National Forest,Fairfield Ranger District,415658.195,0.187529785627,2.90430332683
99041307010343,04,13,07,041307,Salmon-Challis National Forest,North Fork Ranger District,775711.031,0.360410158641,5.84595625845
99041304010343,04,13,04,041304,Salmon-Challis National Forest,Lost River Ranger District,814856.348,0.369608138046,8.65485281959
99041301010343,04,13,01,041301,Salmon-Challis National Forest,Salmon-Cobalt Ranger District,642333.136,0.296893169452,5.28236459439
99041306010343,04,13,06,041306,Salmon-Challis National Forest,Middle Fork Ranger District,1031514.731,0.473662524715,4.43095878648
99041302010343,04,13,02,041302,Salmon-Challis National Forest,Challis-Yankee Fork Ranger District,802944.588,0.367132748127,9.20857930419
99041202010343,04,12,02,041202,Payette National Forest,Weiser Ranger District,121902.543,0.0559792584015,1.70751750926
99041203010343,04,12,03,041203,Payette National Forest,New Meadows Ranger District,287112.721,0.13292519172700001,3.02910897459
99041206010343,04,12,06,041206,Payette National Forest,Krassel Ranger District,1065746.278,0.493408378568,4.86486020107
99040802010343,04,08,02,040802,Fishlake National Forest,Fremont River Ranger District,521162.663,0.217334061792,4.1677661109
99061604010343,06,16,04,061604,Wallowa-Whitman National Forest,Hells Canyon National Recreation Area,25115.876,0.303112725345,4.62247527715
99041906010343,04,19,06,041906,Uinta-Wasatch-Cache National Forest,Ogden Ranger District,584697.682,0.254676674064,4.16678175066
99041551010343,04,15,51,041551,Caribou-Targhee National Forest,Dubois Ranger District,458231.422,0.209234323207,6.11129731287
99040701010343,04,07,01,040701,Dixie National Forest,Pine Valley Ranger District,480979.935,0.198251684668,3.04800665715
99041004010343,04,10,04,041004,Manti-La Sal National Forest,Moab Ranger District,174410.272,0.0728616732244,2.96334542213
99041005010343,04,10,05,041005,Manti-La Sal National Forest,Monticello Ranger District,368813.081,0.152678670571,2.76104762904
99041308010343,04,13,08,041308,Salmon-Challis National Forest,Leadore Ranger District,329007.067,0.151242002854,5.73616628745
99041201010343,04,12,01,041201,Payette National Forest,Council Ranger District,375483.132,0.172986342789,3.70953695163
